event_id,event_type,user_id,variant,timestamp,latency_ms,clicked
3f0b78a3-0c46-46f3-a038-6afac9dba5a5,assignment,user_0,control,2026-04-04 18:03:34.706772,,
aeb65fe5-d09c-4630-8c84-f583f6548659,inference,user_0,control,2026-04-04 17:55:34.706865,39.0,
c27440f9-d207-4b9b-843a-4d3e74842c89,response,user_0,control,2026-04-04 17:53:34.706914,,0.0
69975eaa-e187-4d56-8c44-dac3ce4fdf63,assignment,user_1,control,2026-04-04 17:45:34.707073,,
282e6162-0750-4927-8412-e165aae08fe8,inference,user_1,control,2026-04-04 17:58:34.707121,30.0,
753b9ce6-7322-4364-b98a-a6ca83880094,response,user_1,control,2026-04-04 18:14:34.707194,,0.0
744c4037-dcef-416a-871e-0efe953aea62,assignment,user_2,treatment,2026-04-04 17:56:34.707330,,
db5a6b09-ef4a-4360-826b-2412913d505d,inference,user_2,treatment,2026-04-04 18:04:34.707391,45.0,
1bfefcbd-1b5c-4c50-a35c-1f74b5f049b0,response,user_2,treatment,2026-04-04 18:34:34.707465,,0.0
e6e4cc42-c31b-4be8-9f2e-2969a1fa3606,assignment,user_3,control,2026-04-04 17:46:34.707718,,
be74d4f0-dc5f-40bd-8072-b8a193c22dd8,inference,user_3,control,2026-04-04 18:32:34.707782,33.0,
b76e03d3-96f1-4e7a-8589-37f09cf490a0,response,user_3,control,2026-04-04 18:18:34.707811,,0.0
ea3dd178-3ced-4c0b-9023-b1dcd5c6b06a,assignment,user_4,control,2026-04-04 18:01:34.707930,,
ff392c18-27a0-4543-987b-6883c6ac0cf8,inference,user_4,control,2026-04-04 18:02:34.707968,26.0,
e001aa1b-9eaf-4bbc-8080-0fcd0e78c7a8,response,user_4,control,2026-04-04 17:49:34.707997,,1.0
bebd5c5e-0597-44c7-a625-155fe65040de,assignment,user_5,control,2026-04-04 18:21:34.708096,,
997ff2da-9d2f-483a-aa2f-57eb1081d8ab,inference,user_5,control,2026-04-04 18:25:34.708132,37.0,
098cb448-46ec-41d9-a7ce-966b8c5eeb4c,response,user_5,control,2026-04-04 18:26:34.708177,,0.0
3883af7e-e2b9-4fa1-a97d-f5e86b8edbe8,assignment,user_6,treatment,2026-04-04 17:37:34.708281,,
25eb3e2f-003f-4c37-95b3-db6605c5ce9f,inference,user_6,treatment,2026-04-04 17:43:34.708315,48.0,
04c6e07e-c3b2-4a15-be21-79c09062589e,response,user_6,treatment,2026-04-04 17:38:34.708343,,0.0
03088e88-4edd-49c1-ae2b-d03c06fda11f,assignment,user_7,treatment,2026-04-04 17:48:34.708465,,
8b520ecc-07b2-48a8-b754-dcab99e59959,inference,user_7,treatment,2026-04-04 18:24:34.708500,51.0,
8b9a3cdd-c2cf-449e-a5fc-1a9efdc822b6,response,user_7,treatment,2026-04-04 18:00:34.708528,,0.0
539234f5-9d3f-4305-8397-80b8b68f14bd,assignment,user_8,control,2026-04-04 17:54:34.708661,,
e9040d65-fad2-45d7-97b4-58a67bf0a581,inference,user_8,control,2026-04-04 18:18:34.708713,41.0,
4bc18164-51da-41a2-ae72-a92d2a303949,response,user_8,control,2026-04-04 18:21:34.708764,,0.0
f783adca-aa02-4ef3-a8c7-309567851e31,assignment,user_9,control,2026-04-04 17:51:34.708876,,
d3b5713c-2d67-4454-8196-b15b5b9f66f8,inference,user_9,control,2026-04-04 18:10:34.708910,26.0,
e96eb8bf-79f7-43bc-92ac-2b2193f11011,response,user_9,control,2026-04-04 17:38:34.708936,,0.0
3505fb05-44ad-413e-b9c0-32dda2beb018,assignment,user_10,control,2026-04-04 17:40:34.709034,,
cd8c309d-ff58-4edc-b38f-b4d6bce3d1ff,inference,user_10,control,2026-04-04 18:03:34.709065,37.0,
2f4c03dd-afb1-4b45-81e6-6bed4f58d930,response,user_10,control,2026-04-04 18:00:34.709089,,1.0
00670a50-e537-49e2-9b4a-b018322068bb,assignment,user_11,control,2026-04-04 17:44:34.709169,,
7bb6505c-9305-4696-80b1-bb38d6bba851,inference,user_11,control,2026-04-04 18:10:34.709200,23.0,
a1b44172-3310-4e9a-ad74-7c5a08982d69,response,user_11,control,2026-04-04 18:22:34.709224,,0.0
54106e4f-1af5-4533-b643-0aad1b485eba,assignment,user_12,control,2026-04-04 17:48:34.709301,,
ff2d3d2a-c589-47f5-a6b8-553de42b3e0f,inference,user_12,control,2026-04-04 17:52:34.709331,26.0,
8858a37b-d125-4c35-854b-a84bdff226ab,response,user_12,control,2026-04-04 17:58:34.709355,,0.0
b8b8e063-ef93-461b-a189-2156f01e0975,assignment,user_13,control,2026-04-04 18:34:34.709433,,
c1c3c73f-099e-462b-b881-a4dd93dc5083,inference,user_13,control,2026-04-04 18:34:34.709462,22.0,
a56da848-fe44-4f91-a5cb-d1476fa4459f,response,user_13,control,2026-04-04 18:15:34.709486,,0.0
931bfb19-ff5e-4dd1-b7c0-2e8716bfdaf9,assignment,user_14,control,2026-04-04 18:19:34.709563,,
0f7b5b88-063e-45f5-87e6-ca08447be286,inference,user_14,control,2026-04-04 17:58:34.709594,29.0,
2fd23d30-70e3-4406-8cc0-7bacc260cc6b,response,user_14,control,2026-04-04 18:25:34.709617,,0.0
1785ba94-09e8-45e2-89b5-b6a5e3c0cc1d,assignment,user_15,treatment,2026-04-04 18:09:34.709694,,
30430aea-6d79-4a9d-b121-ef680e3e6d45,inference,user_15,treatment,2026-04-04 18:09:34.709733,49.0,
b4440096-3c45-44df-a519-71c09e43f71a,response,user_15,treatment,2026-04-04 17:39:34.709805,,0.0
1f85528e-d869-4bf2-a04e-25f0b4f0ec07,assignment,user_16,treatment,2026-04-04 18:32:34.709900,,
81349ee2-fb0c-42eb-8f5d-84ac38963541,inference,user_16,treatment,2026-04-04 18:22:34.709932,32.0,
1c528746-b261-466a-9c5d-d4c520ca5148,response,user_16,treatment,2026-04-04 17:58:34.709956,,0.0
5d314770-15ee-4873-8d51-f1b825345e92,assignment,user_17,treatment,2026-04-04 18:18:34.710033,,
82005f65-9d9e-4433-82e7-7fe000f730ff,inference,user_17,treatment,2026-04-04 18:14:34.710064,53.0,
e9c2881c-5154-41d3-a278-fc89eb94d2ff,response,user_17,treatment,2026-04-04 18:09:34.710088,,0.0
e9c2b313-2c3c-4ca9-bb28-60b5e68c8a2d,assignment,user_18,control,2026-04-04 18:11:34.710172,,
78f2ca47-cf9f-4f4a-95cd-85d5ec91a8ee,inference,user_18,control,2026-04-04 17:48:34.710205,27.0,
ad4809cc-f9f5-469a-8f70-1c017d7167da,response,user_18,control,2026-04-04 17:43:34.710230,,0.0
eab64625-a592-462d-9337-daf39b9fadee,assignment,user_19,treatment,2026-04-04 18:00:34.710309,,
447ce0ed-3dab-480e-a29c-74f6e3ffdac9,inference,user_19,treatment,2026-04-04 18:16:34.710340,51.0,
8f2a7d99-1dc4-4689-88dc-6d0f0e1ef0a8,response,user_19,treatment,2026-04-04 18:25:34.710363,,0.0
9dc93f26-300d-4700-b769-6c7977536a1d,assignment,user_20,control,2026-04-04 18:13:34.710439,,
3bdb542c-4e56-4346-9427-cd7912963701,inference,user_20,control,2026-04-04 17:38:34.710469,56.0,
8ff1fb56-5268-4191-83e7-02a9dfff8fbc,response,user_20,control,2026-04-04 17:57:34.710493,,0.0
f14309d0-7c9d-4671-b882-e08e00876674,assignment,user_21,treatment,2026-04-04 17:49:34.710570,,
e6162cbc-9926-43b9-b54b-9a15e513f230,inference,user_21,treatment,2026-04-04 18:17:34.710599,36.0,
575bcfae-5672-4109-9eec-cb93857ae850,response,user_21,treatment,2026-04-04 17:47:34.710624,,0.0
836f9d52-9bfb-4397-9563-813e7ec91e5c,assignment,user_22,control,2026-04-04 18:33:34.710700,,
04053740-d9e5-448e-90b5-9b9235e113a0,inference,user_22,control,2026-04-04 18:16:34.710730,40.0,
75d687fd-3d56-4d7f-8661-6b6bd514837d,response,user_22,control,2026-04-04 18:31:34.710754,,0.0
